Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,total_consumption,Energy Consumption Per Capita,Happiness Score
Saudi Arabia,3.44545826,2020,7.45,1.61E+12,44725.8152,35997108,7792.263,0.000216469,6.406499863
Saudi Arabia,3.063289889,2021,6.621,1.68E+12,46731.05687,35950396,7982.646,0.000222046,6.494
Saudi Arabia,2.474073719,2022,5.589,1.82E+12,49987.88206,36408824,2022,5.55E-05,6.523
South Korea,0.706331772,2015,3.546,1.8E+12,35297.99627,50994396,8683.875,0.000170291,5.984
South Korea,0.97168574,2016,3.65,1.86E+12,36250.25492,51309984,8888.698,0.000173235,5.835
South Korea,1.944332308,2017,3.653,1.92E+12,37273.12895,51511640,8978.119,0.000174293,5.837999821
South Korea,1.47583935,2018,3.824,1.97E+12,38121.48175,51676900,9112.07,0.000176328,5.875
South Korea,0.383000304,2019,3.746,2.02E+12,38993.2544,51803832,9046.932,0.000174638,5.895
South Korea,0.537288023,2020,3.931,2E+12,38576.75834,51844688,8835.996,0.000170432,5.872399807
South Korea,2.498333333,2021,3.639,2.08E+12,40131.09285,51830136,9176.707,0.000177054,5.845
South Korea,5.089513651,2022,2.857,2.14E+12,41300.1376,51815808,9269.729,0.000178898,5.935
Spain,-0.50036571,2015,22.058,1.49E+12,32090.39135,46431344,5440.409,0.000117171,6.329
Spain,-0.202598,2016,19.635,1.53E+12,32922.11531,46473320,5481.651,0.000117953,6.361
Spain,1.956076334,2017,17.224,1.58E+12,33917.10248,46584168,5477.537,0.000117584,6.402999878
Spain,1.674981369,2018,15.255,1.62E+12,34621.27023,46792044,5579.794,0.000119247,6.31
Spain,0.699518994,2019,14.104,1.65E+12,35008.52893,47131372,5468.867,0.000116035,6.354
Spain,-0.322753017,2020,15.532,1.46E+12,30825.22419,47363808,5190.836,0.000109595,6.400899887
Spain,3.09313512,2021,14.781,1.54E+12,32429.97463,47486932,5436.659,0.000114487,6.491
Spain,8.390576341,2022,12.917,1.63E+12,34273.48373,47558632,5550.058,0.000116699,6.476
Thailand,-0.900424963,2015,0.597,1E+12,14225.88266,70294408,4829.239,6.87E-05,6.455
Thailand,0.188149704,2016,0.688,1.04E+12,14729.41109,70607032,4893.765,6.93E-05,6.474
Thailand,0.665631893,2017,0.83,1.08E+12,15233.10716,70898208,4960.719,7.00E-05,6.423999786
Thailand,1.063897542,2018,0.766,1.13E+12,15886.89476,71127808,5071.837,7.13E-05,6.072
Thailand,0.706728601,2019,0.716,1.15E+12,16127.27522,71307768,5084.39,7.13E-05,6.008
Thailand,-0.845937147,2020,1.099,1.08E+12,15110.03801,71475664,4870.314,6.81E-05,5.998799801
Thailand,1.230395413,2021,1.215,1.1E+12,15362.89161,71601104,4894.876,6.84E-05,5.985
Thailand,6.077412284,2022,0.94,1.12E+12,15621.28994,71697024,4901.272,6.84E-05,5.891
Turkey,7.670853648,2015,10.304,1.73E+12,21721.06794,79646176,5419.784,6.80E-05,5.332
Turkey,7.775134153,2016,10.899,1.78E+12,21970.04668,81019400,5597.581,6.91E-05,5.389
Turkey,11.14431108,2017,10.919,1.92E+12,23389.01348,82089824,5825.651,7.10E-05,5.5
Turkey,16.3324639,2018,10.956,1.98E+12,23910.35674,82809304,5854.689,7.07E-05,5.483
Turkey,15.17682157,2019,13.73,1.99E+12,23837.56304,83481688,6068.828,7.27E-05,5.373
Turkey,12.27895745,2020,13.148,2.03E+12,24127.76581,84135432,6003.285,7.14E-05,5.131800175
Turkey,19.59649269,2021,11.969,2.26E+12,26658.67441,84775408,6237.424,7.36E-05,4.948
Turkey,72.30883599,2022,10.432,2.39E+12,28005.21502,85341248,6330.736,7.42E-05,4.744
United Arab Emirates,4.069966084,2015,1.792,6.75E+11,75698.87727,8916909,4469.767,0.000501269,6.901
United Arab Emirates,1.617488089,2016,1.64,7.12E+11,79161.54581,8994266,4567.78,0.000507855,6.573
United Arab Emirates,1.966825578,2017,2.462,7.18E+11,79176.93918,9068297,4445.907,0.000490269,6.647999763
United Arab Emirates,3.068633793,2018,2.236,7.27E+11,79538.98461,9140172,4315.856,0.000472185,6.774
United Arab Emirates,-1.931081148,2019,2.331,7.35E+11,79790.17897,9211660,4447.497,0.000482812,6.825
United Arab Emirates,-2.079403179,2020,4.294,6.99E+11,75264.18375,9287286,4411.632,0.000475018,6.790800095
United Arab Emirates,-0.013859944,2021,3.105,7.26E+11,77521.45748,9365149,4470.781,0.000477385,6.561
United Arab Emirates,4.827888596,2022,2.873,7.8E+11,82617.15908,9441138,4662.861,0.000493888,6.576
United Kingdom,0.368046842,2015,5.301,2.43E+12,37256.0145,65224368,6827.641,0.000104679,6.867
United Kingdom,1.008417368,2016,4.81,2.48E+12,37773.09107,65655204,6751.743,0.000102836,6.725
United Kingdom,2.557755776,2017,4.33,2.54E+12,38447.09577,66064808,6806.06,0.000103021,6.714000225
United Kingdom,2.292839903,2018,3.996,2.58E+12,38836.12294,66432996,6837.082,0.000102917,7.19
United Kingdom,1.738104601,2019,3.737,2.62E+12,39234.09065,66778660,6772.684,0.00010142,7.054
United Kingdom,0.989486704,2020,4.472,2.33E+12,34745.27804,67059472,6355.418,9.48E-05,7.164500237
United Kingdom,2.518371096,2021,4.826,2.51E+12,37306.20097,67281040,6363.483,9.46E-05,7.064
United Kingdom,7.922048831,2022,3.73,2.62E+12,38809.67699,67508936,6455.663,9.56E-05,6.943
United States,0.118627136,2015,5.28,1.69E+13,52062.83167,324607776,55432.831,0.000170769,7.119
United States,1.261583206,2016,4.869,1.72E+13,52565.59722,327210208,55601.287,0.000169925,7.104
United States,2.130110004,2017,4.355,1.76E+13,53367.09497,329791232,56009.588,0.000169833,6.993000031
United States,2.442583297,2018,3.896,1.81E+13,54495.08718,332140032,57955.215,0.00017449,6.886
United States,1.812210075,2019,3.669,1.85E+13,55336.2578,334319680,57651.207,0.000172443,6.892
United States,1.233584396,2020,8.055,1.8E+13,53580.67507,335942016,53855.538,0.000160312,6.939599991
United States,4.697858864,2021,5.349,1.91E+13,56676.95612,336997632,56660.668,0.000168134,6.951
United States,8.002799821,2022,3.65,1.95E+13,57642.87535,338289856,58023.664,0.000171521,6.977
Vietnam,0.631200905,2015,1.849,5.56E+11,6030.931302,92191400,3819.65,4.14E-05,5.36
Vietnam,2.66824817,2016,1.848,5.93E+11,6367.680754,93126528,3985.668,4.28E-05,5.061
Vietnam,3.520256888,2017,1.874,6.34E+11,6742.310427,94033048,4174.591,4.44E-05,5.073999882
Vietnam,3.539628059,2018,1.161,6.82E+11,7185.427262,94914328,4407.261,4.64E-05,5.103
Vietnam,2.795823675,2019,1.681,7.32E+11,7642.776461,95776712,4614.278,4.82E-05,5.175
Vietnam,3.220934367,2020,2.103,7.53E+11,7791.104855,96648680,4652.083,4.81E-05,5.353499889
Vietnam,1.834715548,2021,2.385,7.72E+11,7920.546332,97468024,4722.163,4.84E-05,5.411
Vietnam,3.1565075,2022,1.535,8.34E+11,8494.008607,98186856,4852.226,4.94E-05,5.485
